tile,target,LOCAL,GLOBAL,FOREST,TARGET
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Marine Debris,1853.4022599355328,1853.4022599355328,1853.4022599355328,1853.402259936891
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Natural Organic Material,130.40746878651836,130.40746878651836,130.40746878651836,130.40746878703592
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Ship,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Marine Water,99.9650647489913,99.9650647489913,168.35661994429455,3612.8504698233264
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Shallow Water,0.0,0.0,0.0,31255.60360676342
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2A_MSIL1C_20210103T152641_N0209_R025_T18QYF_20210103T171702_resampled_msk,Mixed Water,132.13915771242193,132.13915771242193,159.32375991563666,180.9020557511206
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Marine Debris,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Ship,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Clouds,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Marine Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Shallow Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201222T153619_N0209_R068_T18QYF_20201222T184301_resampled_msk,Mixed Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Marine Debris,903.2197142143463,903.2197142143463,845.5787394947598,903.2197142141666
S2B_MSIL1C_20201129T152639_N0209_R025_T18QYF_20201129T171704_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
